,tweet_id,favorites,retweets
0,666020888022790149,2532,500
1,666029285002620928,126,47
2,666033412701032449,123,43
3,666044226329800704,293,139
4,666049248165822465,106,42
5,666050758794694657,130,59
6,666051853826850816,1204,834
7,666055525042405380,428,236
8,666057090499244032,290,139
9,666058600524156928,109,57
10,666063827256086533,466,213
11,666071193221509120,143,59
12,666073100786774016,316,159
13,666082916733198337,114,44
14,666094000022159362,162,72
15,666099513787052032,151,66
16,666102155909144576,78,11
17,666104133288665088,14061,6411
18,666268910803644416,100,35
19,666273097616637952,171,76
20,666287406224695296,144,64
21,666293911632134144,491,346
22,666337882303524864,193,90
23,666345417576210432,288,132
24,666353288456101888,215,71
25,666362758909284353,761,562
26,666373753744588802,184,89
27,666396247373291520,164,84
28,666407126856765440,105,40
29,666411507551481857,437,323
30,666418789513326592,122,45
31,666421158376562688,313,111
32,666428276349472768,164,82
33,666430724426358785,312,195
34,666435652385423360,164,53
35,666437273139982337,124,48
36,666447344410484738,103,20
37,666454714377183233,517,208
38,666644823164719104,230,80
39,666649482315059201,1116,624
40,666691418707132416,186,47
41,666701168228331520,430,219
42,666739327293083650,236,66
43,666776908487630848,351,175
44,666781792255496192,387,194
45,666786068205871104,759,486
46,666804364988780544,240,94
47,666817836334096384,517,251
48,666826780179869698,254,97
49,666835007768551424,214,80
50,666837028449972224,818,554
51,666983947667116034,2547,986
52,666996132027977728,244,94
53,667012601033924608,445,225
54,667044094246576128,183,51
55,667062181243039745,217,55
56,667065535570550784,166,48
57,667073648344346624,402,122
58,667090893657276420,332,129
59,667119796878725120,330,128
60,667138269671505920,4608,2222
61,667152164079423490,47840,17207
62,667160273090932737,257,62
63,667165590075940865,2694,1147
64,667171260800061440,221,91
65,667174963120574464,245,84
66,667176164155375616,611,464
67,667177989038297088,192,55
68,667182792070062081,14372,6255
69,667188689915760640,745,420
70,667192066997374976,386,109
71,667200525029539841,617,262
72,667211855547486208,496,244
73,667369227918143488,368,166
74,667393430834667520,197,58
75,667405339315146752,467,221
76,667435689202614272,305,84
77,667437278097252352,451,242
78,667443425659232256,785,587
79,667453023279554560,314,91
80,667455448082227200,192,60
81,667470559035432960,258,100
82,667491009379606528,534,232
83,667495797102141441,521,274
84,667502640335572993,537,222
85,667509364010450944,6816,2154
86,667517642048163840,368,193
87,667524857454854144,1709,1123
88,667530908589760512,472,242
89,667534815156183040,822,549
90,667538891197542400,205,66
91,667544320556335104,873,531
92,667546741521195010,337,126
93,667549055577362432,5834,2319
94,667550882905632768,0,33
95,667550904950915073,0,35
96,667724302356258817,485,323
97,667728196545200128,379,152
98,667766675769573376,443,220
99,667773195014021121,237,57
100,667782464991965184,411,247
101,667793409583771648,704,336
102,667801013445750784,330,97
103,667806454573760512,1064,505
104,667832474953625600,292,63
105,667861340749471744,244,78
106,667866724293877760,3024,1050
107,667873844930215936,631,414
108,667878741721415682,395,122
109,667885044254572545,825,498
110,667886921285246976,1905,1112
111,667902449697558528,857,381
112,667911425562669056,494,310
113,667915453470232577,210,57
114,667924896115245057,306,113
115,667937095915278337,1280,807
116,668113020489474048,672,248
117,668142349051129856,572,293
118,668154635664932864,504,323
119,668171859951755264,498,201
120,668190681446379520,661,200
121,668204964695683073,558,200
122,668221241640230912,515,203
123,668226093875376128,302,105
124,668237644992782336,6277,2905
125,668248472370458624,1007,500
126,668256321989451776,1318,632
127,668268907921326080,560,243
128,668274247790391296,834,235
129,668286279830867968,510,141
130,668291999406125056,248,32
131,668297328638447616,626,304
132,668466899341221888,893,526
133,668480044826800133,468,152
134,668484198282485761,433,241
135,668496999348633600,420,135
136,668507509523615744,330,111
137,668528771708952576,468,232
138,668537837512433665,255,77
139,668542336805281792,468,221
140,668544745690562560,525,232
141,668567822092664832,248,57
142,668614819948453888,620,321
143,668620235289837568,205,44
144,668623201287675904,1451,790
145,668625577880875008,393,138
146,668627278264475648,323,118
147,668631377374486528,729,325
148,668633411083464705,2855,1686
149,668636665813057536,1056,500
150,668641109086707712,1091,552
151,668643542311546881,891,541
152,668645506898350081,906,547
153,668655139528511488,541,223
154,668779399630725120,712,380
155,668815180734689280,581,278
156,668826086256599040,441,141
157,668852170888998912,459,171
158,668872652652679168,533,307
159,668892474547511297,400,154
160,668902994700836864,322,103
161,668932921458302977,270,59
162,668955713004314625,284,73
163,668960084974809088,712,245
164,668975677807423489,1327,595
165,668979806671884288,805,356
166,668981893510119424,544,317
167,668986018524233728,563,172
168,668988183816871936,905,483
169,668989615043424256,690,337
170,668992363537309700,750,355
171,668994913074286592,446,238
172,669000397445533696,21131,6519
173,669006782128353280,586,257
174,669015743032369152,753,382
175,669037058363662336,667,321
176,669203728096960512,1013,490
177,669214165781868544,444,171
178,669216679721873412,1203,414
179,669324657376567296,503,213
180,669327207240699904,584,119
181,669328503091937280,1026,425
182,669351434509529089,445,192
183,669353438988365824,653,266
184,669354382627049472,2747,1301
185,669359674819481600,374,127
186,669363888236994561,634,235
187,669367896104181761,472,162
188,669371483794317312,505,185
189,669375718304980992,1356,750
190,669393256313184256,374,79
191,669564461267722241,392,128
192,669567591774625800,240,58
193,669571471778410496,1608,1043
194,669573570759163904,440,145
195,669583744538451968,1509,949
196,669597912108789760,519,154
197,669603084620980224,957,371
198,669625907762618368,3577,1855
199,669661792646373376,817,451
200,669680153564442624,679,296
201,669682095984410625,357,136
202,669683899023405056,395,114
203,669749430875258880,271,67
204,669753178989142016,827,411
205,669923323644657664,239,58
206,669926384437997569,381,107
207,669942763794931712,515,168
208,669970042633789440,307,62
209,669972011175813120,450,167
210,669993076832759809,329,86
211,670003130994700288,337,95
212,670037189829525505,596,285
213,670040295598354432,767,115
214,670046952931721218,654,181
215,670055038660800512,679,339
216,670061506722140161,777,351
217,670069087419133954,636,250
218,670073503555706880,1594,811
219,670079681849372674,2249,1272
220,670086499208155136,708,261
221,670093938074779648,1040,343
222,670290420111441920,714,293
223,670303360680108032,434,139
224,670319130621435904,3913,1249
225,670338931251150849,431,113
226,670361874861563904,334,69
227,670374371102445568,755,277
228,670385711116361728,568,217
229,670403879788544000,440,161
230,670408998013820928,563,231
231,670411370698022913,2049,921
232,670417414769758208,575,325
233,670420569653809152,634,322
234,670421925039075328,1328,650
235,670427002554466305,526,167
236,670428280563085312,1405,648
237,670433248821026816,332,115
238,670434127938719744,1424,661
239,670435821946826752,1066,530
240,670442337873600512,649,202
241,670444955656130560,6801,2029
242,670449342516494336,1208,683
243,670452855871037440,556,213
244,670465786746662913,979,564
245,670468609693655041,358,86
246,670474236058800128,1549,778
247,670668383499735048,10848,5165
248,670676092097810432,252,44
249,670679630144274432,755,290
250,670691627984359425,598,249
251,670704688707301377,775,381
252,670717338665226240,1226,507
253,670727704916926465,837,370
254,670733412878163972,977,524
255,670755717859713024,448,114
256,670764103623966721,1089,434
257,670778058496974848,330,74
258,670780561024270336,792,296
259,670782429121134593,1588,792
260,670783437142401025,833,405
261,670786190031921152,609,205
262,670789397210615808,671,246
263,670792680469889025,841,285
264,670797304698376195,745,243
265,670803562457407488,345,88
266,670804601705242624,1995,981
267,670807719151067136,1172,501
268,670811965569282048,1145,275
269,670815497391357952,3211,1575
270,670822709593571328,620,99
271,670823764196741120,790,197
272,670826280409919488,5629,4152
273,670832455012716544,746,224
274,670833812859932673,456,128
275,670838202509447168,1130,711
276,670840546554966016,601,198
277,670842764863651840,24907,8948
278,670995969505435648,1119,300
279,671109016219725825,1161,450
280,671115716440031232,1381,793
281,671122204919246848,3548,2586
282,671134062904504320,760,199
283,671138694582165504,941,414
284,671141549288370177,1180,671
285,671147085991960577,684,231
286,671151324042559489,681,158
287,671154572044468225,723,225
288,671159727754231808,379,84
289,671163268581498880,1686,1135
290,671166507850801152,888,360
291,671182547775299584,1140,352
292,671186162933985280,745,218
293,671347597085433856,966,439
294,671355857343524864,485,116
295,671357843010908160,406,150
296,671362598324076544,1126,301
297,671390180817915904,1439,750
298,671485057807351808,769,236
299,671486386088865792,584,210
300,671488513339211776,1024,479
301,671497587707535361,931,454
302,671504605491109889,7127,3630
303,671511350426865664,1630,742
304,671518598289059840,965,298
305,671520732782923777,1417,538
306,671528761649688577,852,265
307,671533943490011136,1032,591
308,671536543010570240,1195,420
309,671538301157904385,939,406
310,671542985629241344,1102,578
311,671544874165002241,2011,1072
312,671547767500775424,1366,611
313,671561002136281088,12988,7409
314,671729906628341761,8615,4462
315,671735591348891648,1473,776
316,671743150407421952,751,237
317,671744970634719232,1363,789
318,671763349865160704,1712,947
319,671768281401958400,1212,540
320,671789708968640512,7145,3576
321,671855973984772097,918,458
322,671866342182637568,1135,514
323,671874878652489728,1263,573
324,671879137494245376,1443,700
325,671882082306625538,3510,1409
326,671891728106971137,1347,585
327,671896809300709376,8582,4262
328,672068090318987265,1313,527
329,672082170312290304,952,375
330,672095186491711488,1012,376
331,672125275208069120,2440,1168
332,672139350159835138,1774,733
333,672160042234327040,882,367
334,672169685991993344,1038,378
335,672205392827572224,2292,1186
336,672222792075620352,795,216
337,672231046314901505,1860,1041
338,672239279297454080,908,329
339,672245253877968896,699,162
340,672248013293752320,1745,627
341,672254177670729728,1451,761
342,672256522047614977,2849,1595
343,672264251789176834,1158,347
344,672267570918129665,1525,629
345,672272411274932228,6541,3483
346,672466075045466113,1370,552
347,672475084225949696,1452,717
348,672481316919734272,727,128
349,672482722825261057,1152,621
350,672488522314567680,1129,450
351,672523490734551040,650,176
352,672538107540070400,1045,376
353,672591271085670400,741,189
354,672591762242805761,964,343
355,672594978741354496,1347,622
356,672604026190569472,1131,410
357,672609152938721280,1133,398
358,672614745925664768,1237,599
359,672622327801233409,1316,507
360,672640509974827008,985,330
361,672828477930868736,1269,505
362,672834301050937345,1332,585
363,672877615439593473,1048,380
364,672884426393653248,1577,852
365,672898206762672129,914,433
366,672902681409806336,1388,519
367,672964561327235073,1439,657
368,672968025906282496,1333,559
369,672970152493887488,962,365
370,672975131468300288,1711,939
371,672980819271634944,1843,1032
372,672984142909456390,1269,558
373,672988786805112832,995,301
374,672995267319328768,976,307
375,672997845381865473,2001,740
376,673148804208660480,1721,649
377,673213039743795200,2287,872
378,673240798075449344,1440,752
379,673270968295534593,1080,380
380,673295268553605120,7639,3252
381,673317986296586240,883,266
382,673320132811366400,13687,8191
383,673342308415348736,1295,605
384,673343217010679808,987,278
385,673345638550134785,2567,1318
386,673350198937153538,757,220
387,673352124999274496,1683,551
388,673355879178194945,1513,600
389,673359818736984064,1481,690
390,673363615379013632,1042,313
391,673576835670777856,1409,577
392,673580926094458881,849,275
393,673583129559498752,1211,379
394,673612854080196609,1615,742
395,673636718965334016,1129,372
396,673656262056419329,728,250
397,673662677122719744,1276,370
398,673680198160809984,1394,482
399,673686845050527744,1467,452
400,673688752737402881,1284,508
401,673689733134946305,1768,668
402,673697980713705472,3868,2019
403,673700254269775872,1462,591
404,673705679337693185,1276,411
405,673707060090052608,1112,404
406,673708611235921920,1096,299
407,673709992831262724,862,284
408,673711475735838725,1054,304
409,673715861853720576,3601,2156
410,673887867907739649,946,258
411,673906403526995968,3249,1669
412,673919437611909120,1190,378
413,673956914389192708,1985,999
414,674008982932058114,1222,366
415,674014384960745472,1591,671
416,674019345211760640,1156,309
417,674024893172875264,1818,1269
418,674036086168010753,863,221
419,674038233588723717,1126,425
420,674042553264685056,737,133
421,674045139690631169,1446,658
422,674051556661161984,1471,499
423,674053186244734976,3390,1347
424,674063288070742018,6489,2289
425,674075285688614912,996,298
426,674082852460433408,770,176
427,674255168825880576,1496,579
428,674262580978937856,1332,470
429,674265582246694913,1675,879
430,674269164442398721,919,232
431,674271431610523648,1598,754
432,674291837063053312,15032,6111
433,674318007229923329,1444,532
434,674372068062928900,864,322
435,674394782723014656,1529,595
436,674410619106390016,1227,482
437,674416750885273600,699,146
438,674422304705744896,1465,556
439,674436901579923456,1137,408
440,674447403907457024,1087,368
441,674468880899788800,6365,2138
442,674632714662858753,1537,601
443,674638615994089473,1718,603
444,674644256330530816,1052,278
445,674646392044941312,1467,519
446,674664755118911488,945,264
447,674670581682434048,1644,678
448,674690135443775488,1175,485
449,674737130913071104,662,96
450,674739953134403584,1137,410
451,674743008475090944,1440,577
452,674752233200820224,1492,485
453,674754018082705410,1392,466
454,674764817387900928,800,247
455,674767892831932416,1866,822
456,674774481756377088,1149,494
457,674781762103414784,2046,1253
458,674788554665512960,829,218
459,674790488185167872,1131,260
460,674793399141146624,2560,1134
461,674800520222154752,3073,893
462,674805413498527744,880,369
463,674999807681908736,2298,1145
464,675003128568291329,1593,491
465,675006312288268288,1010,236
466,675015141583413248,2782,1250
467,675047298674663426,1089,342
468,675109292475830276,2872,1181
469,675111688094527488,988,264
470,675113801096802304,1998,816
471,675135153782571009,1328,514
472,675145476954566656,2191,942
473,675146535592706048,1226,327
474,675147105808306176,965,252
475,675149409102012420,3837,1757
476,675153376133427200,6444,2729
477,675166823650848770,3709,1683
478,675334060156301312,2857,1351
479,675349384339542016,4015,2355
480,675354435921575936,33691,17953
481,675362609739206656,1078,239
482,675372240448454658,1741,531
483,675432746517426176,1567,595
484,675483430902214656,1898,1018
485,675489971617296384,1340,624
486,675497103322386432,3228,1357
487,675501075957489664,17596,6066
488,675517828909424640,1338,477
489,675522403582218240,1070,299
490,675531475945709568,1217,404
491,675534494439489536,1872,436
492,675706639471788032,663,102
493,675707330206547968,2037,728
494,675710890956750848,1942,865
495,675740360753160193,1200,363
496,675781562965868544,1666,495
497,675798442703122432,10535,3543
498,675820929667219457,1080,241
499,675822767435051008,1570,559
500,675845657354215424,2352,931
501,675853064436391936,2767,1360
502,675870721063669760,1691,600
503,675878199931371520,4299,1462
504,675888385639251968,2447,1004
505,675891555769696257,2197,910
506,675898130735476737,1682,599
507,676089483918516224,1356,451
508,676098748976615425,3097,1511
509,676101918813499392,2900,1217
510,676146341966438401,1983,701
511,676191832485810177,2350,1079
512,676215927814406144,1793,614
513,676219687039057920,77220,32538
514,676237365392908289,1263,308
515,676263575653122048,2141,578
516,676430933382295552,1442,362
517,676440007570247681,1777,696
518,676470639084101634,11982,4912
519,676496375194980353,1568,561
520,676533798876651520,1941,585
521,676575501977128964,2679,1182
522,676582956622721024,1246,293
523,676588346097852417,2405,842
524,676603393314578432,1206,406
525,676606785097199616,1942,460
526,676613908052996102,1123,206
527,676617503762681856,2999,1034
528,676776431406465024,5164,2107
529,676811746707918848,1459,445
530,676819651066732545,1863,701
531,676821958043033607,23846,16458
532,676864501615042560,2170,749
533,676897532954456065,2335,762
534,676936541936185344,13137,5171
535,676942428000112642,2143,799
536,676946864479084545,1768,399
537,676948236477857792,2250,918
538,676949632774234114,1347,421
539,676957860086095872,2291,850
540,676975532580409345,2876,1130
541,677187300187611136,2821,975
542,677228873407442944,3662,1729
543,677269281705472000,2068,742
544,677301033169788928,1284,433
545,677314812125323265,1699,567
546,677328882937298944,3764,1580
547,677331501395156992,1133,248
548,677334615166730240,1404,311
549,677530072887205888,1112,240
550,677547928504967168,7177,3849
551,677557565589463040,2531,1229
552,677565715327688705,1343,483
553,677573743309385728,2220,765
554,677644091929329666,1939,842
555,677662372920729601,2023,1027
556,677673981332312066,3464,1583
557,677687604918272002,2573,892
558,677698403548192770,1273,336
559,677700003327029250,3519,1529
560,677716515794329600,3169,1023
561,677895101218201600,5011,2227
562,677918531514703872,1399,433
563,678021115718029313,14297,6755
564,678255464182861824,1644,394
565,678278586130948096,11911,6437
566,678334497360859136,1351,275
567,678341075375947776,1796,569
568,678380236862578688,2536,964
569,678389028614488064,1944,445
570,678396796259975168,1656,444
571,678399652199309312,82265,33696
572,678410210315247616,4406,1934
573,678424312106393600,5627,2693
574,678446151570427904,4158,1663
575,678643457146150913,2138,448
576,678675843183484930,2987,1570
577,678740035362037760,3913,1802
578,678755239630127104,7422,3513
579,678764513869611008,1706,505
580,678767140346941444,3676,1453
581,678774928607469569,2913,975
582,678798276842360832,3621,1260
